2009-07-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 152.8
2009-08-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 217.0
2009-09-01 12:00:00 0.2% exptime_sum = 0.6, observe_time_sum = 273.6
2009-10-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 341.3
2009-11-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 375.0
2009-12-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 409.0
2010-01-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 395.0
2010-02-01 12:00:00 0.2% exptime_sum = 0.6, observe_time_sum = 320.2
2010-03-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 299.4
2010-04-01 12:00:00 1.3% exptime_sum = 2.9, observe_time_sum = 226.6
2010-05-01 12:00:00 0.3% exptime_sum = 0.6, observe_time_sum = 167.6
2010-06-01 12:00:00 0.6% exptime_sum = 0.7, observe_time_sum = 123.4
2010-07-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 152.4
2010-08-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 216.4
2010-09-01 12:00:00 1.2% exptime_sum = 3.2, observe_time_sum = 273.1
2010-10-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 340.8
2010-11-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 374.7
2010-12-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 409.0
2011-01-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 395.3
2011-02-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 320.5
2011-03-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 299.9
2011-04-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 227.2
2011-05-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 168.1
2011-06-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 123.5
2011-07-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 152.0
2011-08-01 12:00:00 3.6% exptime_sum = 7.8, observe_time_sum = 215.9
2011-09-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 272.6
2011-10-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 340.4
